screen,list_size,true_positives,precision,recall_of_screenable,recall_of_cohort,average_precision
Mandatory review completion (lowest first),10,8,0.8,0.615,0.5,0.881
Mandatory review completion (lowest first),20,13,0.65,1.0,0.812,0.881
Mandatory review completion (lowest first),30,13,0.433,1.0,0.812,0.881
Mandatory review completion (lowest first),50,13,0.26,1.0,0.812,0.881
Restricted-tier session rate (highest first),10,1,0.1,0.077,0.062,0.129
Restricted-tier session rate (highest first),20,2,0.1,0.154,0.125,0.129
Restricted-tier session rate (highest first),30,5,0.167,0.385,0.312,0.129
Restricted-tier session rate (highest first),50,8,0.16,0.615,0.5,0.129
Restricted-tier session count (highest first),10,1,0.1,0.077,0.062,0.161
Restricted-tier session count (highest first),20,4,0.2,0.308,0.25,0.161
Restricted-tier session count (highest first),30,5,0.167,0.385,0.312,0.161
Restricted-tier session count (highest first),50,6,0.12,0.462,0.375,0.161
Both: rank sum of the two above,10,0,0.0,0.0,0.0,0.077
Both: rank sum of the two above,20,2,0.1,0.154,0.125,0.077
Both: rank sum of the two above,30,3,0.1,0.231,0.188,0.077
Both: rank sum of the two above,50,3,0.06,0.231,0.188,0.077
